Symbol,NCBI GeneID,Description,Ensembl GeneIDs
HMGCR,3156,3-hydroxy-3-methylglutaryl-CoA reductase,ENSG00000113161
ITGA3,3675,integrin subunit alpha 3,ENSG00000005884
FOXC1,2296,forkhead box C1,ENSG00000054598
HNRNPD,3184,heterogeneous nuclear ribonucleoprotein D,ENSG00000138668
EDNRA,1909,endothelin receptor type A,ENSG00000151617
BMAL1,406,basic helix-loop-helix ARNT like 1,ENSG00000133794
COL4A5,1287,collagen type IV alpha 5 chain,ENSG00000188153
ATP1A1,476,ATPase Na+/K+ transporting subunit alpha 1,ENSG00000163399
CAPN10,11132,calpain 10,ENSG00000142330
IL11,3589,interleukin 11,ENSG00000095752
TRIM5,85363,tripartite motif containing 5,ENSG00000132256
AXIN1,8312,axin 1,ENSG00000103126
NR4A2,4929,nuclear receptor subfamily 4 group A member 2,ENSG00000153234
TFEB,7942,transcription factor EB,ENSG00000112561
VTCN1,79679,V-set domain containing T cell activation inhibitor 1,ENSG00000134258
FAAH,2166,fatty acid amide hydrolase,ENSG00000117480
ADD1,118,adducin 1,ENSG00000087274
SSTR2,6752,somatostatin receptor 2,ENSG00000180616
ATG5,9474,autophagy related 5,ENSG00000057663
CRK,1398,"CRK proto-oncogene, adaptor protein",ENSG00000167193
CXCL16,58191,C-X-C motif chemokine ligand 16,ENSG00000161921
KCNE1,3753,potassium voltage-gated channel subfamily E regulatory subunit 1,ENSG00000180509
SELPLG,6404,selectin P ligand,ENSG00000110876
MCM2,4171,minichromosome maintenance complex component 2,ENSG00000073111
CSNK2B,1460,casein kinase 2 beta,ENSG00000204435
DKK3,27122,dickkopf Wnt signaling pathway inhibitor 3,ENSG00000050165
CDH13,1012,cadherin 13,ENSG00000140945
SEMA3A,10371,semaphorin 3A,ENSG00000075213
BUB1B,701,BUB1 mitotic checkpoint serine/threonine kinase B,ENSG00000156970
KCNQ2,3785,potassium voltage-gated channel subfamily Q member 2,ENSG00000075043
FAP,2191,fibroblast activation protein alpha,ENSG00000078098
NOX1,27035,NADPH oxidase 1,ENSG00000007952
KMT2D,8085,lysine methyltransferase 2D,ENSG00000167548
SCGB1A1,7356,secretoglobin family 1A member 1,ENSG00000149021
PON2,5445,paraoxonase 2,ENSG00000105854
ATP7A,538,ATPase copper transporting alpha,ENSG00000165240
CXCL9,4283,C-X-C motif chemokine ligand 9,ENSG00000138755
CANX,821,calnexin,ENSG00000127022
MPZ,4359,myelin protein zero,ENSG00000158887
MUC2,4583,"mucin 2, oligomeric mucus/gel-forming",ENSG00000198788
TNFRSF10A,8797,TNF receptor superfamily member 10a,ENSG00000104689
PRKCI,5584,protein kinase C iota,ENSG00000163558
CHRNA4,1137,cholinergic receptor nicotinic alpha 4 subunit,ENSG00000101204
G3BP1,10146,G3BP stress granule assembly factor 1,ENSG00000145907
NKX2-5,1482,NK2 homeobox 5,ENSG00000183072
IL24,11009,interleukin 24,ENSG00000162892
HTR1B,3351,5-hydroxytryptamine receptor 1B,ENSG00000135312
COPS5,10987,COP9 signalosome subunit 5,ENSG00000121022
VAV1,7409,vav guanine nucleotide exchange factor 1,ENSG00000141968
ZFP36,7538,ZFP36 ring finger protein,ENSG00000128016
PGK1,5230,phosphoglycerate kinase 1,ENSG00000102144
TET1,80312,tet methylcytosine dioxygenase 1,ENSG00000138336
PMS2,5395,"PMS1 homolog 2, mismatch repair system component",ENSG00000122512
BIRC2,329,baculoviral IAP repeat containing 2,ENSG00000110330
ITCH,83737,itchy E3 ubiquitin protein ligase,ENSG00000078747
SET,6418,SET nuclear proto-oncogene,ENSG00000119335
FADS1,3992,fatty acid desaturase 1,ENSG00000149485
FCGR3B,2215,Fc gamma receptor IIIb,ENSG00000162747
PTPA,5524,protein phosphatase 2 phosphatase activator,ENSG00000119383
ALCAM,214,activated leukocyte cell adhesion molecule,ENSG00000170017
NCOR2,9612,nuclear receptor corepressor 2,ENSG00000196498
ITPR1,3708,"inositol 1,4,5-trisphosphate receptor type 1",ENSG00000150995
DLK1,8788,delta like non-canonical Notch ligand 1,ENSG00000185559
KIR3DL1,3811,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1",ENSG00000167633
IGFBP7,3490,insulin like growth factor binding protein 7,ENSG00000163453
MAOB,4129,monoamine oxidase B,ENSG00000069535
KCNJ2,3759,potassium inwardly rectifying channel subfamily J member 2,ENSG00000123700
PTP4A3,11156,protein tyrosine phosphatase 4A3,ENSG00000184489
WNT3A,89780,Wnt family member 3A,ENSG00000154342
MAPK7,5598,mitogen-activated protein kinase 7,ENSG00000166484
MSLN,10232,mesothelin,ENSG00000102854
RAB7A,7879,"RAB7A, member RAS oncogene family",ENSG00000075785
AQP2,359,aquaporin 2,ENSG00000167580
C4A,720,complement C4A (Chido/Rodgers blood group),ENSG00000244731
CAPN1,823,calpain 1,ENSG00000014216
CD1D,912,CD1d molecule,ENSG00000158473
PRKD1,5587,protein kinase D1,ENSG00000184304
C1QBP,708,complement C1q binding protein,ENSG00000108561
POLH,5429,DNA polymerase eta,ENSG00000170734
KRT8,3856,keratin 8,ENSG00000170421
RTN4,57142,reticulon 4,ENSG00000115310
NUCB2,4925,nucleobindin 2,ENSG00000070081
ADH1C,126,"alcohol dehydrogenase 1C (class I), gamma polypeptide",ENSG00000248144
MAP1LC3B,81631,microtubule associated protein 1 light chain 3 beta,ENSG00000140941
UPF1,5976,UPF1 RNA helicase and ATPase,ENSG00000005007
PAX2,5076,paired box 2,ENSG00000075891
KHDRBS1,10657,"KH RNA binding domain containing, signal transduction associated 1",ENSG00000121774
POU2F1,5451,POU class 2 homeobox 1,ENSG00000143190
BID,637,BH3 interacting domain death agonist,ENSG00000015475
SREBF2,6721,sterol regulatory element binding transcription factor 2,ENSG00000198911
TACSTD2,4070,tumor associated calcium signal transducer 2,ENSG00000184292
BBC3,27113,BCL2 binding component 3,ENSG00000105327
DLG1,1739,discs large MAGUK scaffold protein 1,ENSG00000075711
CCND2,894,cyclin D2,ENSG00000118971
BNIP3,664,BCL2 interacting protein 3,ENSG00000176171
ADIPOR1,51094,adiponectin receptor 1,ENSG00000159346
MBP,4155,myelin basic protein,ENSG00000197971
GATA6,2627,GATA binding protein 6,ENSG00000141448
AVPR2,554,arginine vasopressin receptor 2,ENSG00000126895
ESRRA,2101,estrogen related receptor alpha,ENSG00000173153
YWHAG,7532,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma,ENSG00000170027
LOXL1,4016,lysyl oxidase like 1,ENSG00000129038
IFI16,3428,interferon gamma inducible protein 16,ENSG00000163565
PDCD6IP,10015,programmed cell death 6 interacting protein,ENSG00000170248
DYSF,8291,dysferlin,ENSG00000135636
CSK,1445,C-terminal Src kinase,ENSG00000103653
GSTA1,2938,glutathione S-transferase alpha 1,ENSG00000243955
LMNB1,4001,lamin B1,ENSG00000113368
IFNGR1,3459,interferon gamma receptor 1,ENSG00000027697
TYK2,7297,tyrosine kinase 2,ENSG00000105397
HSPA1B,3304,heat shock protein family A (Hsp70) member 1B,ENSG00000204388
SLC1A2,6506,solute carrier family 1 member 2,ENSG00000110436
PTH1R,5745,parathyroid hormone 1 receptor,ENSG00000160801
FLI1,2313,"Fli-1 proto-oncogene, ETS transcription factor",ENSG00000151702
MMP12,4321,matrix metallopeptidase 12,ENSG00000262406
RPSA,3921,ribosomal protein SA,ENSG00000168028
ABCB4,5244,ATP binding cassette subfamily B member 4,ENSG00000005471
VCL,7414,vinculin,ENSG00000035403
FTH1,2495,ferritin heavy chain 1,ENSG00000167996
BCAR1,9564,"BCAR1 scaffold protein, Cas family member",ENSG00000050820
EGLN1,54583,egl-9 family hypoxia inducible factor 1,ENSG00000135766
PDX1,3651,pancreatic and duodenal homeobox 1,ENSG00000139515
RAP1A,5906,"RAP1A, member of RAS oncogene family",ENSG00000116473
TYMP,1890,thymidine phosphorylase,ENSG00000025708
MEF2C,4208,myocyte enhancer factor 2C,ENSG00000081189
MERTK,10461,"MER proto-oncogene, tyrosine kinase",ENSG00000153208
TRPM2,7226,transient receptor potential cation channel subfamily M member 2,ENSG00000142185
RPGR,6103,retinitis pigmentosa GTPase regulator,ENSG00000156313
UCP1,7350,uncoupling protein 1,ENSG00000109424
FH,2271,fumarate hydratase,ENSG00000091483
NFATC2,4773,nuclear factor of activated T cells 2,ENSG00000101096
ACKR1,2532,atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088
ACTG1,71,actin gamma 1,ENSG00000184009
TNFSF15,9966,TNF superfamily member 15,ENSG00000181634
SMAD1,4086,SMAD family member 1,ENSG00000170365
PRDM1,639,PR/SET domain 1,ENSG00000057657
S100A7,6278,S100 calcium binding protein A7,ENSG00000143556
GLI2,2736,GLI family zinc finger 2,ENSG00000074047
CD80,941,CD80 molecule,ENSG00000121594
PIK3CD,5293,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",ENSG00000171608
C5AR1,728,complement C5a receptor 1,ENSG00000197405
TXNRD1,7296,thioredoxin reductase 1,ENSG00000198431
SRSF2,6427,serine and arginine rich splicing factor 2,ENSG00000161547
GREM1,26585,"gremlin 1, DAN family BMP antagonist",ENSG00000166923
JUP,3728,junction plakoglobin,ENSG00000173801
ERCC4,2072,"ERCC excision repair 4, endonuclease catalytic subunit",ENSG00000175595
CD74,972,CD74 molecule,ENSG00000019582
FUT2,2524,fucosyltransferase 2 (H blood group),ENSG00000176920
PYCARD,29108,PYD and CARD domain containing,ENSG00000103490
MTTP,4547,microsomal triglyceride transfer protein,ENSG00000138823
DLC1,10395,DLC1 Rho GTPase activating protein,ENSG00000164741
ATF6,22926,activating transcription factor 6,ENSG00000118217
APOA4,337,apolipoprotein A4,ENSG00000110244
MSN,4478,moesin,ENSG00000147065
KCNN4,3783,potassium calcium-activated channel subfamily N member 4,ENSG00000104783
CD63,967,CD63 molecule,ENSG00000135404
C4B,721,complement C4B (Chido/Rodgers blood group),ENSG00000224389
NPHS2,7827,"NPHS2 stomatin family member, podocin",ENSG00000116218
LCAT,3931,lecithin-cholesterol acyltransferase,ENSG00000213398
MCM7,4176,minichromosome maintenance complex component 7,ENSG00000166508
NR0B1,190,nuclear receptor subfamily 0 group B member 1,ENSG00000169297
SMARCA2,6595,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2,ENSG00000080503
BIN1,274,bridging integrator 1,ENSG00000136717
PRLR,5618,prolactin receptor,ENSG00000113494
FADS2,9415,fatty acid desaturase 2,ENSG00000134824
CTSS,1520,cathepsin S,ENSG00000163131
POLE,5426,"DNA polymerase epsilon, catalytic subunit",ENSG00000177084
UBE2C,11065,ubiquitin conjugating enzyme E2 C,ENSG00000175063
FCGR1A,2209,Fc gamma receptor Ia,ENSG00000150337
TFF3,7033,trefoil factor 3,ENSG00000160180
SCNN1A,6337,sodium channel epithelial 1 subunit alpha,ENSG00000111319
GCKR,2646,glucokinase regulator,ENSG00000084734
CIP2A,57650,cellular inhibitor of PP2A,ENSG00000163507
CXCR1,3577,C-X-C motif chemokine receptor 1,ENSG00000163464
HBG1,3047,hemoglobin subunit gamma 1,ENSG00000213934
ANGPTL8,55908,angiopoietin like 8,ENSG00000130173
UGT2B7,7364,UDP glucuronosyltransferase family 2 member B7,ENSG00000171234
H3-4,8290,"H3.4 histone, cluster member",ENSG00000168148
SLC12A3,6559,solute carrier family 12 member 3,ENSG00000070915
SLC22A5,6584,solute carrier family 22 member 5,ENSG00000197375
SLC29A1,2030,solute carrier family 29 member 1 (Augustine blood group),ENSG00000112759
PLCE1,51196,phospholipase C epsilon 1,ENSG00000138193
TUBB,203068,tubulin beta class I,ENSG00000196230
ENTPD1,953,ectonucleoside triphosphate diphosphohydrolase 1,ENSG00000138185
SEPTIN9,10801,septin 9,ENSG00000184640
CXCL5,6374,C-X-C motif chemokine ligand 5,ENSG00000163735
SERPINA12,145264,serpin family A member 12,ENSG00000165953
CCL11,6356,C-C motif chemokine ligand 11,ENSG00000172156
PPM1D,8493,"protein phosphatase, Mg2+/Mn2+ dependent 1D",ENSG00000170836
DES,1674,desmin,ENSG00000175084
CFB,629,complement factor B,ENSG00000243649
CHRNA3,1136,cholinergic receptor nicotinic alpha 3 subunit,ENSG00000080644
PLA2G6,8398,phospholipase A2 group VI,ENSG00000184381
HNRNPU,3192,heterogeneous nuclear ribonucleoprotein U,ENSG00000153187
AIM2,9447,absent in melanoma 2,ENSG00000163568
OSM,5008,oncostatin M,ENSG00000099985
SORT1,6272,sortilin 1,ENSG00000134243
ARF1,375,ARF GTPase 1,ENSG00000143761
GLO1,2739,glyoxalase I,ENSG00000124767
MTHFD1,4522,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",ENSG00000100714
IDE,3416,insulin degrading enzyme,ENSG00000119912
PRRT2,112476,proline rich transmembrane protein 2,ENSG00000167371
ITGAL,3683,integrin subunit alpha L,ENSG00000005844
GPT,2875,glutamic--pyruvic transaminase,ENSG00000167701
AKT3,10000,AKT serine/threonine kinase 3,ENSG00000117020
LGALS3BP,3959,galectin 3 binding protein,ENSG00000108679
DEK,7913,DEK proto-oncogene,ENSG00000124795
LOXL2,4017,lysyl oxidase like 2,ENSG00000134013
NLRP1,22861,NLR family pyrin domain containing 1,ENSG00000091592
MS4A1,931,membrane spanning 4-domains A1,ENSG00000156738
APAF1,317,apoptotic peptidase activating factor 1,ENSG00000120868
DMPK,1760,DM1 protein kinase,ENSG00000104936
TAS2R38,5726,taste 2 receptor member 38,ENSG00000257138
CCR6,1235,C-C motif chemokine receptor 6,ENSG00000112486
XDH,7498,xanthine dehydrogenase,ENSG00000158125
TFF1,7031,trefoil factor 1,ENSG00000160182
CDC73,79577,cell division cycle 73,ENSG00000134371
PRTN3,5657,proteinase 3,ENSG00000196415
VASP,7408,vasodilator stimulated phosphoprotein,ENSG00000125753
FPR2,2358,formyl peptide receptor 2,ENSG00000171049
IFITM3,10410,interferon induced transmembrane protein 3,ENSG00000142089
TRPC1,7220,transient receptor potential cation channel subfamily C member 1,ENSG00000144935
CDC25C,995,cell division cycle 25C,ENSG00000158402
SLC2A9,56606,solute carrier family 2 member 9,ENSG00000109667
COL5A1,1289,collagen type V alpha 1 chain,ENSG00000130635
AKR1C3,8644,aldo-keto reductase family 1 member C3,ENSG00000196139
ADAM33,80332,ADAM metallopeptidase domain 33,ENSG00000149451
HOXA9,3205,homeobox A9,ENSG00000078399
TFPI2,7980,tissue factor pathway inhibitor 2,ENSG00000105825
CHD7,55636,chromodomain helicase DNA binding protein 7,ENSG00000171316
KCNJ5,3762,potassium inwardly rectifying channel subfamily J member 5,ENSG00000120457
TRIM25,7706,tripartite motif containing 25,ENSG00000121060
DROSHA,29102,drosha ribonuclease III,ENSG00000113360
WEE1,7465,WEE1 G2 checkpoint kinase,ENSG00000166483
SATB2,23314,SATB homeobox 2,ENSG00000119042
CBX5,23468,chromobox 5,ENSG00000094916
PER3,8863,period circadian regulator 3,ENSG00000049246
AQP5,362,aquaporin 5,ENSG00000161798
CRKL,1399,"CRK like proto-oncogene, adaptor protein",ENSG00000099942
HNRNPC,3183,heterogeneous nuclear ribonucleoprotein C,ENSG00000092199
DIO2,1734,iodothyronine deiodinase 2,ENSG00000211448
ILF3,3609,interleukin enhancer binding factor 3,ENSG00000129351
RANBP2,5903,RAN binding protein 2,ENSG00000153201
GLRA1,2741,glycine receptor alpha 1,ENSG00000145888
PRAME,23532,PRAME nuclear receptor transcriptional regulator,ENSG00000185686
CCL17,6361,C-C motif chemokine ligand 17,ENSG00000102970
CTBP1,1487,C-terminal binding protein 1,ENSG00000159692
EFEMP1,2202,EGF containing fibulin extracellular matrix protein 1,ENSG00000115380
TTK,7272,TTK protein kinase,ENSG00000112742
NCOA2,10499,nuclear receptor coactivator 2,ENSG00000140396
PTGER4,5734,prostaglandin E receptor 4,ENSG00000171522
GNRHR,2798,gonadotropin releasing hormone receptor,ENSG00000109163
USH2A,7399,usherin,ENSG00000042781
GLI3,2737,GLI family zinc finger 3,ENSG00000106571
SLPI,6590,secretory leukocyte peptidase inhibitor,ENSG00000124107
LAG3,3902,lymphocyte activating 3,ENSG00000089692
PTPN2,5771,protein tyrosine phosphatase non-receptor type 2,ENSG00000175354
UCP3,7352,uncoupling protein 3,ENSG00000175564
ABCC6,368,ATP binding cassette subfamily C member 6,ENSG00000091262
PLN,5350,phospholamban,ENSG00000198523
DLG4,1742,discs large MAGUK scaffold protein 4,ENSG00000132535
NONO,4841,non-POU domain containing octamer binding,ENSG00000147140
FOXP2,93986,forkhead box P2,ENSG00000128573
RAB11A,8766,"RAB11A, member RAS oncogene family",ENSG00000103769
CASP7,840,caspase 7,ENSG00000165806
ICOS,29851,inducible T cell costimulator,ENSG00000163600
CHRM3,1131,cholinergic receptor muscarinic 3,ENSG00000133019
EPHB4,2050,EPH receptor B4,ENSG00000196411
CCL4,6351,C-C motif chemokine ligand 4,ENSG00000275302
FABP1,2168,fatty acid binding protein 1,ENSG00000163586
TLN1,7094,talin 1,ENSG00000137076
SIN3A,25942,SIN3 transcription regulator family member A,ENSG00000169375
FOLR1,2348,folate receptor alpha,ENSG00000110195
MSX1,4487,msh homeobox 1,ENSG00000163132
HUWE1,10075,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",ENSG00000086758
PIK3CB,5291,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",ENSG00000051382
MST1R,4486,macrophage stimulating 1 receptor,ENSG00000164078
NOTCH4,4855,notch receptor 4,ENSG00000204301
PRKCQ,5588,protein kinase C theta,ENSG00000065675
CLCN1,1180,chloride voltage-gated channel 1,ENSG00000188037
PHOX2B,8929,paired like homeobox 2B,ENSG00000109132
ANPEP,290,"alanyl aminopeptidase, membrane",ENSG00000166825
HCRT,3060,hypocretin neuropeptide precursor,ENSG00000161610
GADD45A,1647,growth arrest and DNA damage inducible alpha,ENSG00000116717
ABCD1,215,ATP binding cassette subfamily D member 1,ENSG00000101986
SRF,6722,serum response factor,ENSG00000112658
MGP,4256,matrix Gla protein,ENSG00000111341
SIGMAR1,10280,sigma non-opioid intracellular receptor 1,ENSG00000147955
H4C1,8359,H4 clustered histone 1,ENSG00000278637
CCL18,6362,C-C motif chemokine ligand 18,ENSG00000275385
PFKFB3,5209,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",ENSG00000170525
GLUD1,2746,glutamate dehydrogenase 1,ENSG00000148672
CPT1A,1374,carnitine palmitoyltransferase 1A,ENSG00000110090
ELK1,2002,ETS transcription factor ELK1,ENSG00000126767
LIN28B,389421,lin-28 RNA binding posttranscriptional regulator B,ENSG00000187772
RORA,6095,RAR related orphan receptor A,ENSG00000069667
HIPK2,28996,homeodomain interacting protein kinase 2,ENSG00000064393
GOLM1,51280,golgi membrane protein 1,ENSG00000135052
MICB,4277,MHC class I polypeptide-related sequence B,ENSG00000204516
GHSR,2693,growth hormone secretagogue receptor,ENSG00000121853
NUP98,4928,nucleoporin 98 and 96 precursor,ENSG00000110713
TLR1,7096,toll like receptor 1,ENSG00000174125
KLF2,10365,KLF transcription factor 2,ENSG00000127528
APOC1,341,apolipoprotein C1,ENSG00000130208
CGA,1081,"glycoprotein hormones, alpha polypeptide",ENSG00000135346
DSG2,1829,desmoglein 2,ENSG00000046604
TAP2,6891,"transporter 2, ATP binding cassette subfamily B member",ENSG00000204267
SFPQ,6421,splicing factor proline and glutamine rich,ENSG00000116560
KNG1,3827,kininogen 1,ENSG00000113889
PRDX6,9588,peroxiredoxin 6,ENSG00000117592
ZNF804A,91752,zinc finger protein 804A,ENSG00000170396
MAPK9,5601,mitogen-activated protein kinase 9,ENSG00000050748
PANX1,24145,pannexin 1,ENSG00000110218
DHFR,1719,dihydrofolate reductase,ENSG00000228716
FABP3,2170,fatty acid binding protein 3,ENSG00000121769
SDHD,6392,succinate dehydrogenase complex subunit D,ENSG00000204370
FANCA,2175,FA complementation group A,ENSG00000187741
UBE2N,7334,ubiquitin conjugating enzyme E2 N,ENSG00000177889
CSF3R,1441,colony stimulating factor 3 receptor,ENSG00000119535
HES1,3280,hes family bHLH transcription factor 1,ENSG00000114315
